domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
conalot.gob.ve,,,,,,Corina Del Carmen,1050,VE,"ns1.conalot.gob.ve, ns2.conalot.gob.ve"
conapdis.gob.ve,,,,,,,Caracas,VE,"dns1.cantv.net, dns2.cantv.net, dns3.conapdis.gob.ve, dns4.conapdis.gob.ve"
conatel.gob.ve,,,,,,,Caracas,VE,"dns3.conatel.gob.ve, dns2.conatel.gob.ve, dns1.conatel.gob.ve"
conati.gob.ve,,,,,,Comisi  N Nacional De Las Tecnologias De Informaci  N,1010,VE,"ns2.mppct.gob.ve, ns1.mppct.gob.ve, ns3.mppct.gob.ve"
concejolossalias.gob.ve,,,,,,Concejo Municipal Del Municipio Los Salias,1204,VE,"ns20.tepuyserver.net, ns19.tepuyserver.net"
concejomunicipalacevedo.gob.ve,,,,,,,Caucagua,VE,"ns4.netquatro.net, ns3.netquatro.net"
concejomunicipalelhatillo.gob.ve,,,,,,Concejo Municipal El Hatillo,1083,VE,"nspro33.hostgator.mx, nspro32.hostgator.mx"
concejomunicipalplaza.gob.ve,,,,,,,Guarenas,VE,"ns3.netquatro.net, ns4.netquatro.net"
concejomunicipalzamora.gob.ve,,,,,,,Guatire,VE,"ns3.netquatro.net, ns4.netquatro.net"
concejomunicipiolostaques.gob.ve,,,,,,Concejo Municipal Los Taques,4101,VE,"dns2.namecheaphosting.com, dns1.namecheaphosting.com"
consejoderechoshumanos.gob.ve,,,,,,Vladimir Jesus,1011,VE,"emma.ns.cloudflare.com, west.ns.cloudflare.com"
consejolegislativolara.gob.ve,,,,,,Consejo Legislativo Del Estado Lara,3001,VE,"dns2004b.trouble-free.net, dns2004a.trouble-free.net"
construpatria.gob.ve,,,,,,NO APLICA,1010,VE,"dns1.construpatria.gob.ve, dn2.construpatria.gob.ve"
consulado.gob.ve,,,,,,,Caracas,VE,"ns1.mre.gob.ve, ns2.mre.gob.ve"
consuladobarcelona.gob.ve,,,,,,,Barcelona,ES,"ns1.cdmon.net, ns2.cdmon.net, ns3.cdmon.net"
contraloria-apure.gob.ve,,,,,,,Apure,VE,"ns5.globalhost.com.ve, ns6.globalhost.com.ve"
contraloriadebarquisimeto.gob.ve,,,,,,,Barquisimeto,VE,"dns1.dominioscaracas.com, dns2.dominioscaracas.com"
contraloriadecarirubana.gob.ve,,,,,,Contraloria Municipal De Carirubana,4102,VE,"ns2.siteground.net, ns1.siteground.net"
contraloriadecojedes.gob.ve,,,,,,,San Carlos,VE,"ns5.netvicios.com, ns6.netvicios.com"
contraloriadelmunicipioacevedo.gob.ve,,,,,,,Caucagua,VE,"ns3.netquatro.net, ns4.netquatro.net"
contraloriademaracaibo.gob.ve,,,,,,Contraloria Municipal De Maracaibo,4001,VE,"ns4.hosting.com.ve, ns3.hosting.com.ve, ns6.gconex.com, ns5.gconex.com"
contraloriaestadoamazonas.gob.ve,,,,,,,Puerto Ayacucho,VE,"ns10.venezueladns.com, ns9.venezueladns.com"
contraloriaestadobarinas.gob.ve,,,,,,,Barinas,VE,"ns3.netvicios.com, ns4.netvicios.com"
contraloriaestadomerida.gob.ve,,,,,,,Merida,VE,"ns5.netvicios.com, ns6.netvicios.com"
contraloriaestadozulia.gob.ve,,,,,,Jeffry Ramon,4001,VE,"ns2.k2webhost.com, ns1.k2webhost.com"
